# Pokemon Insurgence Form Data (generated by generate_pokemon_data.py)
# SpeciesID | SpeciesName | FormID | FormName
3 | Venusaur | 0 | Venusaur
3 | Venusaur | 1 | Mega Venusaur
6 | Charizard | 0 | Charizard
6 | Charizard | 1 | Mega Charizard X
6 | Charizard | 2 | Mega Charizard Y
9 | Blastoise | 0 | Blastoise
9 | Blastoise | 1 | Mega Blastoise
15 | Beedrill | 0 | Beedrill
15 | Beedrill | 1 | Mega Beedrill
18 | Pidgeot | 0 | Pidgeot
18 | Pidgeot | 1 | Mega Pidgeot
62 | Poliwrath | 0 | Poliwrath
62 | Poliwrath | 1 | Mega Poliwrath
65 | Alakazam | 0 | Alakazam
65 | Alakazam | 1 | Mega Alakazam
68 | Machamp | 0 | Machamp
68 | Machamp | 1 | Pokkén Machamp
80 | Slowbro | 0 | Slowbro
80 | Slowbro | 1 | Mega Slowbro
94 | Gengar | 0 | Gengar
94 | Gengar | 1 | Mega Gengar
105 | Marowak | 0 | Marowak
105 | Marowak | 1 | Mega Marowak
115 | Kangaskhan | 0 | Kangaskhan
115 | Kangaskhan | 1 | Mega Kangaskhan
127 | Pinsir | 0 | Pinsir
127 | Pinsir | 1 | Mega Pinsir
130 | Gyarados | 0 | Gyarados
130 | Gyarados | 1 | Mega Gyarados
133 | Eevee | 0 | Eevee
133 | Eevee | 1 | Mega Eevee
142 | Aerodactyl | 0 | Aerodactyl
142 | Aerodactyl | 1 | Mega Aerodactyl
150 | Mewtwo | 0 | Mewtwo
150 | Mewtwo | 1 | Armored Mewtwo
150 | Mewtwo | 2 | Mega Mewtwo X
150 | Mewtwo | 3 | Mega Mewtwo Y
150 | Mewtwo | 4 | Shadow Mewtwo
150 | Mewtwo | 5 | Mega Shadow Mewtwo
151 | Mew | 0 | Mew
151 | Mew | 1 | Space Mew
154 | Meganium | 0 | Meganium
154 | Meganium | 1 | Mega Meganium
157 | Typhlosion | 0 | Typhlosion
157 | Typhlosion | 1 | Mega Typhlosion
160 | Feraligatr | 0 | Feraligatr
160 | Feraligatr | 1 | Mega Feraligatr
172 | Pichu | 1 | Spiky-Eared
181 | Ampharos | 0 | Ampharos
181 | Ampharos | 1 | Mega Ampharos
185 | Sudowoodo | 0 | Sudowoodo
185 | Sudowoodo | 1 | Mega Sudowoodo
186 | Politoed | 0 | Politoed
186 | Politoed | 1 | Mega Politoed
192 | Sunflora | 0 | Sunflora
192 | Sunflora | 1 | Male Mega Sunflora
192 | Sunflora | 2 | Female Mega Sunflora
192 | Sunflora | 3 | Male Mega Sunflora (Unleafed)
192 | Sunflora | 4 | Female Mega Sunflora (Unleafed)
201 | Unown | 0 | Anger
201 | Unown | 1 | Bear
201 | Unown | 2 | Chase
201 | Unown | 3 | Direct
201 | Unown | 4 | Engage
201 | Unown | 5 | Find
201 | Unown | 6 | Give
201 | Unown | 7 | Help
201 | Unown | 8 | Increase
201 | Unown | 9 | Join
201 | Unown | 10 | Keep
201 | Unown | 11 | Laugh
201 | Unown | 12 | Make
201 | Unown | 13 | Nuzzle
201 | Unown | 14 | Observe
201 | Unown | 15 | Perform
201 | Unown | 16 | Quicken
201 | Unown | 17 | Reassure
201 | Unown | 18 | Search
201 | Unown | 19 | Tell
201 | Unown | 20 | Undo
201 | Unown | 21 | Vanish
201 | Unown | 22 | Want
201 | Unown | 23 | XXXXX
201 | Unown | 24 | Yield
201 | Unown | 25 | Zoom
201 | Unown | 26 | ?????
201 | Unown | 27 | !!!!!
203 | Girafarig | 0 | Girafarig
203 | Girafarig | 1 | Mega Girafarig
208 | Steelix | 0 | Steelix
208 | Steelix | 1 | Mega Steelix (Fire)
208 | Steelix | 2 | Mega Steelix (Steel)
212 | Scizor | 0 | Scizor
212 | Scizor | 1 | Mega Scizor
214 | Heracross | 0 | Heracross
214 | Heracross | 1 | Mega Heracross
219 | Magcargo | 0 | Magcargo
219 | Magcargo | 1 | Mega Magcargo
229 | Houndoom | 0 | Houndoom
229 | Houndoom | 1 | Mega Houndoom
232 | Donphan | 0 | Donphan
232 | Donphan | 1 | Mega Donphan
241 | Miltank | 0 | Miltank
241 | Miltank | 1 | Mega Miltank
248 | Tyranitar | 0 | Tyranitar
248 | Tyranitar | 1 | Mega Tyranitar
