# Pokemon Insurgence Ability Data (generated by generate_data_from_game.py)
# ID | Name | Description
1 | Stench | The stench may cause the target to flinch.
2 | Drizzle | The Pokémon makes it rain if it appears in battle.
3 | Speed Boost | Its Speed stat is gradually boosted.
4 | Battle Armor | The Pokémon is protected against critical hits.
5 | Sturdy | It cannot be knocked out with one hit.
6 | Damp | Prevents the use of self-destructing moves.
7 | Limber | The Pokémon is protected from paralysis.
8 | Sand Veil | Boosts the Pokémon's evasion in a sandstorm.
9 | Static | Contact with the Pokémon may cause paralysis.
10 | Volt Absorb | Restores HP if hit by an Electric-type move.
11 | Water Absorb | Restores HP if hit by a Water-type move.
12 | Oblivious | Prevents it from becoming infatuated.
13 | Cloud Nine | Eliminates the effects of weather.
14 | Compound Eyes | The Pokémon's accuracy is boosted.
15 | Insomnia | Prevents the Pokémon from falling asleep.
16 | Color Change | Changes the Pokémon's type to the foe's move.
17 | Immunity | Prevents the Pokémon from getting poisoned.
18 | Flash Fire | It powers up Fire-type moves if it's hit by one.
19 | Shield Dust | Blocks the added effects of attacks taken.
20 | Own Tempo | Prevents the Pokémon from becoming confused.
21 | Suction Cups | Negates all moves that force switching out.
22 | Intimidate | Lowers the foe's Attack stat.
23 | Shadow Tag | Prevents the foe from escaping.
24 | Rough Skin | Inflicts damage to the foe on contact.
25 | Wonder Guard | Only super-effective moves will hit.
26 | Levitate | Gives full immunity to all Ground-type moves.
27 | Effect Spore | Contact may poison or cause paralysis or sleep.
28 | Synchronize | Passes a burn, poison, or paralysis to the foe.
29 | Clear Body | Prevents other Pokémon from lowering its stats.
30 | Natural Cure | All status problems heal when it switches out.
31 | Lightning Rod | Draws in all Electric-type moves to up Sp. Attack.
32 | Serene Grace | Boosts the likelihood of added effects appearing.
33 | Swift Swim | Boosts the Pokémon's Speed in rain.
34 | Chlorophyll | Boosts the Pokémon's Speed in sunshine.
35 | Illuminate | Raises the likelihood of meeting wild Pokémon.
36 | Trace | The Pokémon copies a foe's Ability.
37 | Huge Power | Raises the Pokémon's Attack stat.
38 | Poison Point | Contact with the Pokémon may poison the attacker.
39 | Inner Focus | The Pokémon is protected from flinching.
40 | Magma Armor | Prevents the Pokémon from becoming frozen.
41 | Water Veil | Prevents the Pokémon from getting a burn.
