# Pokemon Insurgence Form Overrides (generated by generate_pokemon_data.py)
# SpeciesID | FormID | HP Atk Def SpA SpD Spe | level:move_id ...
3 | 1 | 80 100 123 120 122 80 | -
6 | 1 | 78 130 111 130 85 100 | -
6 | 2 | 78 104 78 159 115 100 | -
9 | 1 | 79 103 120 135 115 78 | -
15 | 1 | 65 150 40 15 80 145 | -
18 | 1 | 83 80 80 135 80 121 | -
62 | 1 | 90 155 120 70 105 70 | -
65 | 1 | 55 50 65 175 95 150 | -
68 | 1 | - | 1:515 1:117 1:374 1:364 1:107 3:364 7:107 9:366 13:103 15:119 19:104 21:35 25:100 27:106 33:60 37:97 43:120 47:89 53:399 57:90 100:739
80 | 1 | 95 75 180 130 80 30 | -
94 | 1 | 60 65 80 170 95 130 | -
105 | 1 | 60 135 120 50 95 65 | -
115 | 1 | 105 125 100 60 100 100 | -
127 | 1 | 65 155 120 65 90 105 | -
130 | 1 | 95 155 109 70 130 81 | -
133 | 1 | 87 87 87 87 87 87 | -
150 | 2 | 106 190 100 154 100 130 | -
150 | 3 | 106 150 70 194 120 140 | -
150 | 4 | - | 1:462 1:358 1:398 1:27 8:299 15:450 22:392 29:487 36:458 43:489 43:474 50:393 57:452 64:469 70:93 79:468 86:259 93:378 100:451 100:741
150 | 5 | 106 190 100 154 100 130 | 1:462 1:358 1:398 1:27 8:299 15:450 22:392 29:487 36:458 43:489 43:474 50:393 57:452 64:469 70:93 79:468 86:259 93:378 100:451 100:741
154 | 1 | 80 82 140 83 140 100 | -
157 | 1 | 78 89 88 159 110 110 | -
160 | 1 | 85 140 110 89 103 103 | -
181 | 1 | 90 95 105 165 110 45 | -
185 | 1 | 70 140 145 40 95 20 | -
186 | 1 | 90 75 95 120 140 80 | -
203 | 1 | 70 80 95 130 95 85 | -
208 | 1 | 75 135 225 65 55 55 | -
208 | 2 | 75 125 230 55 95 30 | -
212 | 1 | 70 150 140 65 100 75 | -
214 | 1 | 80 185 115 40 105 75 | -
219 | 1 | 50 70 100 150 100 50 | -
229 | 1 | 75 90 90 140 90 115 | -
232 | 1 | 90 150 150 60 100 50 | -
241 | 1 | 95 125 145 40 115 70 | -
248 | 1 | 100 164 150 95 120 71 | -
248 | 2 | 100 134 143 95 130 61 | -
254 | 1 | 70 110 75 145 85 145 | -
257 | 1 | 80 160 80 130 80 100 | -
260 | 1 | 100 150 110 95 110 70 | -
275 | 1 | 90 135 70 125 60 100 | -
282 | 1 | 68 85 65 165 135 100 | -
282 | 2 | - | 1:627 1:465 1:680 1:477 1:368 1:462 1:359 1:497 4:462 6:359 9:497 11:683 14:424 17:203 19:476 23:642 26:470 31:452 35:480 40:450 44:352 49:479 53:449 58:465 62:627 100:738
282 | 3 | 68 85 65 165 135 100 | 1:627 1:465 1:680 1:477 1:368 1:462 1:359 1:497 4:462 6:359 9:497 11:683 14:424 17:203 19:476 23:642 26:470 31:452 35:480 40:450 44:352 49:479 53:449 58:465 62:627 100:738
302 | 1 | 50 85 125 85 115 20 | -
303 | 1 | 50 105 125 55 95 50 | -
306 | 1 | 70 140 230 60 80 50 | -
308 | 1 | 60 100 85 80 85 100 | -
310 | 1 | 70 75 80 135 80 135 | -
319 | 1 | 70 140 70 110 65 105 | -
323 | 1 | 70 120 110 145 105 20 | -
330 | 1 | 80 100 104 80 104 100 | -
330 | 2 | 80 110 90 140 80 120 | -
334 | 1 | 75 110 110 110 105 80 | -
342 | 1 | 63 145 95 100 85 80 | -
350 | 1 | 95 70 109 130 155 81 | -
