# Pokemon Insurgence Item Data (generated by generate_data_from_game.py)
# ID | SourceID | Name | Pocket | Price | Description | FieldUse | BattleUse | ItemType | MoveID | MachineType | MachineCategory
3 | 1 | Repel | Items | 350 | An item that prevents weak wild Pokémon from appearing for 100 steps after its use. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
5 | 2 | Super Repel | Items | 500 | An item that prevents weak wild Pokémon from appearing for 200 steps after its use. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
7 | 3 | Max Repel | Items | 700 | An item that prevents weak wild Pokémon from appearing for 250 steps after its use. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
9 | 4 | Black Flute | Items | 400 | A black flute made from blown glass. Its melody makes wild Pokémon less likely to appear. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
11 | 5 | White Flute | Items | 500 | A white flute made from blown glass. Its melody makes wild Pokémon more likely to appear. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
13 | 6 | Honey | Items | 100 | A sweet honey with an aroma that attracts wild Pokémon when used in grass, caves or on special trees. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
15 | 7 | Escape Rope | Items | 550 | A long, durable rope. Use it to escape instantly from a cave or a dungeon. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
17 | 8 | Red Shard | Items | 200 | A small red shard. It appears to be from some sort of implement made long ago. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
19 | 9 | Yellow Shard | Items | 200 | A small yellow shard. It appears to be from some sort of implement made long ago. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
21 | 10 | Blue Shard | Items | 200 | A small blue shard. It appears to be from some sort of implement made long ago. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
23 | 11 | Green Shard | Items | 200 | A small green shard. It appears to be from some sort of implement made long ago. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
25 | 12 | Fire Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It is colored orange. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
27 | 13 | Thunder Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It has a thunderbolt pattern. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
29 | 14 | Water Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It is a clear, light blue. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
31 | 15 | Leaf Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It has a leaf pattern. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
33 | 16 | Moon Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It is as black as the night sky. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
35 | 17 | Sun Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It is as red as the sun. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
37 | 18 | Dusk Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It is as dark as dark can be. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
39 | 19 | Dawn Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It sparkles like eyes. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
41 | 20 | Shiny Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
43 | 21 | Red Apricorn | Items | 200 | A red Apricorn. It assails your nostrils. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
45 | 22 | Ylw Apricorn | Items | 200 | A yellow Apricorn. It has an invigorating scent. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
47 | 23 | Blu Apricorn | Items | 200 | A blue Apricorn. It smells a bit like grass. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
49 | 24 | Grn Apricorn | Items | 200 | A green Apricorn. It has a mysterious, aromatic scent. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
51 | 25 | Pnk Apricorn | Items | 200 | A pink Apricorn. It has a nice, sweet scent. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
53 | 26 | Wht Apricorn | Items | 200 | A white Apricorn. It doesn't smell like anything. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
55 | 27 | Blk Apricorn | Items | 200 | A black Apricorn. It has an indescribable scent. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
57 | 28 | Helix Fossil | Items | 1000 | A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
59 | 29 | Dome Fossil | Items | 1000 | A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
61 | 30 | Old Amber | Items | 1000 | A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
63 | 31 | Root Fossil | Items | 1000 | A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
65 | 32 | Claw Fossil | Items | 1000 | A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
67 | 33 | Skull Fossil | Items | 1000 | A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
69 | 34 | Armor Fossil | Items | 1000 | A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
71 | 35 | Cover Fossil | Items | 1000 | A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
73 | 36 | Plume Fossil | Items | 1000 | A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
75 | 37 | Pretty Wing | Items | 200 | Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
77 | 38 | TinyMushroom | Items | 500 | A small and rare mushroom. It is sought after by collectors. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
79 | 39 | Big Mushroom | Items | 5000 | A large and rare mushroom. It is sought after by collectors. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
81 | 40 | BalmMushroom | Items | 50000 | A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
83 | 41 | Pearl | Items | 1400 | A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
85 | 42 | Big Pearl | Items | 7500 | A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
87 | 43 | Pearl String | Items | 50000 | Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
89 | 44 | Stardust | Items | 2000 | Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
