# Pokemon Insurgence Move Data  (generated by generate_data_from_game.py)
# Uses game-internal IDs — these are the @id values stored in save files
# ID | Name | Type | Category | PP | Power | Accuracy | Description
1 | Megahorn | Bug | Physical | 10 | 120 | 85 | Using its tough and impressive horn, the user rams into the target with no letup.
2 | Attack Order | Bug | Physical | 15 | 90 | 100 | The user calls out its underlings to pummel the target. Critical hits land more easily.
3 | Bug Buzz | Bug | Special | 10 | 90 | 100 | The user vibrates its wings to generate a damaging sound wave. It may also lower the target's Sp. Def stat.
4 | X-Scissor | Bug | Physical | 15 | 80 | 100 | The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
5 | Signal Beam | Bug | Special | 15 | 75 | 100 | The user attacks with a sinister beam of light. It may also confuse the target.
6 | U-turn | Bug | Physical | 20 | 70 | 100 | After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
7 | Steamroller | Bug | Physical | 20 | 65 | 100 | The user crushes its targets by rolling over them with its rolled-up body. This attack may make the target flinch.
8 | Bug Bite | Bug | Physical | 20 | 60 | 100 | The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.
9 | Silver Wind | Bug | Special | 5 | 60 | 100 | The target is attacked with powdery scales blown by wind. It may also raise all the user's stats.
10 | Struggle Bug | Bug | Special | 20 | 50 | 100 | While resisting, the user attacks the opposing Pokémon. The targets' Sp. Atk stat is reduced.
11 | Twineedle | Bug | Physical | 20 | 25 | 100 | The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target.
12 | Fury Cutter | Bug | Physical | 20 | 40 | 95 | The target is slashed with scythes or claws. Its power increases if it hits in succession.
13 | Leech Life | Bug | Physical | 15 | 20 | 100 | The user drains the target's blood. The user's HP is restored by half the damage taken by the target.
14 | Pin Missile | Bug | Physical | 20 | 25 | 95 | Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
15 | Defend Order | Bug | Status | 10 | 0 | 0 | The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.
16 | Heal Order | Bug | Status | 10 | 0 | 0 | The user calls out its underlings to heal it. The user regains up to half of its max HP.
17 | Quiver Dance | Bug | Status | 20 | 0 | 0 | The user lightly performs a beautiful, mystic dance. It boosts the user's Sp. Atk, Sp. Def, and Speed stats.
18 | Rage Powder | Bug | Status | 20 | 0 | 0 | The user scatters a cloud of irritating powder to draw attention to itself. Opponents aim only at the user.
19 | Spider Web | Bug | Status | 10 | 0 | 0 | The user ensnares the target with thin, gooey silk so it can't flee from battle.
20 | String Shot | Bug | Status | 40 | 0 | 95 | The targets are bound with silk blown from the user's mouth. This silk harshly reduces the targets' Speed stat.
21 | Tail Glow | Bug | Status | 20 | 0 | 0 | The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.
22 | Foul Play | Dark | Physical | 15 | 95 | 100 | The user turns the target's power against it. The higher the target's Attack stat, the greater the damage.
23 | Night Daze | Dark | Special | 10 | 85 | 95 | The user lets loose a pitch-black shock wave at its target. It may also lower the target's accuracy.
24 | Crunch | Dark | Physical | 15 | 80 | 100 | The user crunches up the target with sharp fangs. It may also lower the target's Defense stat.
25 | Dark Pulse | Dark | Special | 15 | 80 | 100 | The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.
26 | Sucker Punch | Dark | Physical | 5 | 80 | 100 | This move enables the user to attack first. It fails if the target is not readying an attack, however.
