# Pokemon Insurgence Species Data (generated by generate_pokemon_data.py)
# ID | Name | Type1 | Type2 | Stage | Rarity | BaseHP | BaseAtk | BaseDef | BaseSpA | BaseSpD | BaseSpe | GrowthRate | Kind | PokedexEntry | Color | Habitat | GenderRate | Happiness | StepsToHatch | Height | Weight | BaseEXP | EVHP | EVAtk | EVDef | EVSpA | EVSpD | EVSpe | Ability1 | Ability2 | HiddenAbility | EggGroup1 | EggGroup2 | CatchRate
1 | Bulbasaur | Grass | Poison | 1 | Common | 45 | 49 | 49 | 65 | 65 | 45 | medium-slow | Seed | Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger. | Green |  | Female 12.5% | 70 | 5355 | 7 | 69 | 64 | 0 | 0 | 0 | 1 | 0 | 0 | Overgrow |  | Chlorophyll | Monster | Grass | 45
2 | Ivysaur | Grass | Poison | 2 | Common | 60 | 62 | 63 | 80 | 80 | 60 | medium-slow | Seed | To support its bulb, Ivysaur's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower. | Green |  | Female 12.5% | 70 | 5355 | 10 | 130 | 142 | 0 | 0 | 0 | 1 | 1 | 0 | Overgrow |  | Chlorophyll | Monster | Grass | 45
3 | Venusaur | Grass | Poison | 3 | Common | 80 | 82 | 83 | 100 | 100 | 80 | medium-slow | Seed | Venusaur's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people. | Green |  | Female 12.5% | 70 | 5355 | 20 | 1000 | 236 | 0 | 0 | 0 | 2 | 1 | 0 | Overgrow |  | Chlorophyll | Monster | Grass | 45
4 | Charmander | Fire |  | 1 | Common | 39 | 52 | 43 | 60 | 50 | 65 | medium-slow | Lizard | The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is happy, and blazes when it is enraged. | Red | Cave | Female 12.5% | 70 | 5355 | 6 | 85 | 62 | 0 | 0 | 0 | 0 | 0 | 1 | Blaze |  | Solar Power | Monster | Dragon | 45
5 | Charmeleon | Fire |  | 2 | Common | 58 | 64 | 58 | 80 | 65 | 80 | medium-slow | Flame | Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color. | Red | Cave | Female 12.5% | 70 | 5355 | 11 | 190 | 142 | 0 | 0 | 0 | 1 | 0 | 1 | Blaze |  | Solar Power | Monster | Dragon | 45
6 | Charizard | Fire | Flying | 3 | Common | 78 | 84 | 78 | 109 | 85 | 100 | medium-slow | Flame | A Charizard flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. | Red | Cave | Female 12.5% | 70 | 5355 | 17 | 905 | 240 | 0 | 0 | 0 | 3 | 0 | 0 | Blaze |  | Solar Power | Monster | Dragon | 45
7 | Squirtle | Water |  | 1 | Common | 44 | 48 | 65 | 50 | 64 | 43 | medium-slow | Tiny Turtle | Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling Squirtle to swim at high speeds. | Blue | Forest | Female 12.5% | 70 | 5355 | 5 | 90 | 63 | 0 | 0 | 1 | 0 | 0 | 0 | Torrent |  | Rain Dish | Monster | Water1 | 45
8 | Wartortle | Water |  | 2 | Common | 59 | 63 | 80 | 65 | 80 | 58 | medium-slow | Turtle | Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this Pokémon's toughness in battle. | Blue | Forest | Female 12.5% | 70 | 5355 | 10 | 225 | 142 | 0 | 0 | 1 | 0 | 1 | 0 | Torrent |  | Rain Dish | Monster | Water1 | 45
9 | Blastoise | Water |  | 3 | Common | 79 | 83 | 100 | 85 | 105 | 78 | medium-slow | Shellfish | The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet. | Blue | Forest | Female 12.5% | 70 | 5355 | 16 | 855 | 239 | 0 | 0 | 0 | 0 | 3 | 0 | Torrent |  | Rain Dish | Monster | Water1 | 45
10 | Caterpie | Bug |  | 1 | Common | 45 | 30 | 35 | 20 | 20 | 45 | medium-fast | Worm | Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae. | Green | Grassland | Female 50% | 70 | 4080 | 3 | 29 | 39 | 1 | 0 | 0 | 0 | 0 | 0 | Shield Dust |  | Run Away | Bug |  | 255
11 | Metapod | Bug |  | 2 | Common | 50 | 20 | 55 | 25 | 25 | 30 | medium-fast | Cocoon | Its shell is as hard as an iron slab. A Metapod does not move very much because it is preparing its soft innards for evolution inside the shell. | Green | Grassland | Female 50% | 70 | 4080 | 7 | 99 | 72 | 0 | 0 | 2 | 0 | 0 | 0 | Shed Skin |  |  | Bug |  | 120
12 | Butterfree | Bug | Flying | 3 | Common | 60 | 45 | 50 | 90 | 80 | 70 | medium-fast | Butterfly | It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away. | White | Grassland | Female 50% | 70 | 4080 | 11 | 320 | 173 | 0 | 0 | 0 | 2 | 1 | 0 | Compound Eyes |  | Tinted Lens | Bug |  | 45
13 | Weedle | Bug | Poison | 1 | Common | 40 | 35 | 30 | 20 | 20 | 50 | medium-fast | Hairy Bug | A Weedle has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose). | Brown | Grassland | Female 50% | 70 | 4080 | 3 | 32 | 39 | 0 | 0 | 0 | 0 | 0 | 1 | Shield Dust |  | Run Away | Bug |  | 255
14 | Kakuna | Bug | Poison | 2 | Common | 45 | 25 | 50 | 25 | 25 | 35 | medium-fast | Cocoon | It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes. | Yellow | Grassland | Female 50% | 70 | 4080 | 6 | 100 | 72 | 0 | 0 | 2 | 0 | 0 | 0 | Shed Skin |  |  | Bug |  | 120
15 | Beedrill | Bug | Poison | 3 | Common | 65 | 90 | 40 | 45 | 80 | 75 | medium-fast | Poison Bee | A Beedrill is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm. | Yellow | Grassland | Female 50% | 70 | 4080 | 10 | 295 | 173 | 0 | 2 | 0 | 0 | 1 | 0 | Swarm |  | Sniper | Bug |  | 45
16 | Pidgey | Normal | Flying | 1 | Common | 40 | 45 | 40 | 35 | 35 | 56 | medium-slow | Tiny Bird | It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings. | Brown | Grassland | Female 50% | 70 | 4080 | 3 | 18 | 50 | 0 | 0 | 0 | 0 | 0 | 1 | Keen Eye | Tangled Feet | Big Pecks | Flying |  | 255
