# Pokemon Insurgence Shadow Move Data (generated by generate_data_from_game.py)
# Uses game-internal move IDs matching move_data.txt
# species_id | move_id move_id ...
18 | 585 602
37 | 594 596
58 | 595 595
74 | 595 601
78 | 593 595 594
85 | 593 602
100 | 594 600
133 | 595 599
137 | 594 600
149 | 585 589 600 602
186 | 596 597
212 | 589 596
232 | 593 601
246 | 593 601
249 | 587 601 596 586
286 | 598 593
303 | 593 596 598
308 | 593 596
309 | 594 599
320 | 595 596
330 | 586 589 602
331 | 595 598
333 | 592 602
359 | 589 596
375 | 593 600
382 | 629 596 590 602
383 | 628 596 591 602
384 | 630 632 633 602
447 | 589 596
454 | 589 596
462 | 592 600
492 | 594 602 596 597
529 | 593 600
578 | 594 599 596
579 | 594 599 596 597
582 | 595 598
604 | 588 600
615 | 590 602
647 | 631 632 633 598
652 | 633 597 602 596
655 | 591 597 602 596
658 | 633 597 602 596
