# Pokemon Insurgence Item IDs (generated by generate_data_from_game.py)
# ID | Name
3 | Repel
5 | Super Repel
7 | Max Repel
9 | Black Flute
11 | White Flute
13 | Honey
15 | Escape Rope
17 | Red Shard
19 | Yellow Shard
21 | Blue Shard
23 | Green Shard
25 | Fire Stone
27 | Thunder Stone
29 | Water Stone
31 | Leaf Stone
33 | Moon Stone
35 | Sun Stone
37 | Dusk Stone
39 | Dawn Stone
41 | Shiny Stone
43 | Red Apricorn
45 | Ylw Apricorn
47 | Blu Apricorn
49 | Grn Apricorn
51 | Pnk Apricorn
53 | Wht Apricorn
55 | Blk Apricorn
57 | Helix Fossil
59 | Dome Fossil
61 | Old Amber
63 | Root Fossil
65 | Claw Fossil
67 | Skull Fossil
69 | Armor Fossil
71 | Cover Fossil
73 | Plume Fossil
75 | Pretty Wing
77 | TinyMushroom
79 | Big Mushroom
81 | BalmMushroom
83 | Pearl
85 | Big Pearl
87 | Pearl String
89 | Stardust
91 | Star Piece
93 | Comet Shard
95 | Nugget
97 | Big Nugget
99 | Heart Scale
101 | Slowpoketail
103 | Rare Bone
105 | Relic Copper
107 | Relic Silver
109 | Relic Gold
111 | Relic Vase
113 | Relic Band
115 | Relic Statue
117 | Relic Crown
119 | Growth Mulch
121 | Damp Mulch
123 | Stable Mulch
125 | Gooey Mulch
127 | Shoal Salt
129 | Shoal Shell
131 | Odd Keystone
133 | Air Balloon
135 | Bright Powder
137 | Eviolite
139 | Float Stone
141 | Destiny Knot
143 | Rocky Helmet
145 | Eject Button
147 | Red Card
149 | Shed Shell
151 | Smoke Ball
153 | Lucky Egg
155 | Exp. Share
157 | Amulet Coin
159 | Soothe Bell
161 | Cleanse Tag
163 | Choice Band
165 | Choice Specs
167 | Choice Scarf
169 | Heat Rock
171 | Damp Rock
173 | Smooth Rock
175 | Icy Rock
177 | Light Clay
179 | Grip Claw
181 | Binding Band
183 | Big Root
185 | Black Sludge
187 | Leftovers
189 | Shell Bell
191 | Mental Herb
193 | White Herb
195 | Power Herb
197 | Absorb Bulb
199 | Cell Battery
201 | Life Orb
203 | Expert Belt
205 | Metronome
207 | Muscle Band
209 | Wise Glasses
211 | Razor Claw
213 | Scope Lens
215 | Wide Lens
217 | Zoom Lens
219 | King's Rock
221 | Razor Fang
223 | Lagging Tail
225 | Quick Claw
227 | Focus Band
229 | Focus Sash
231 | Flame Orb
233 | Toxic Orb
235 | Sticky Barb
237 | Iron Ball
239 | Ring Target
241 | Macho Brace
243 | Power Weight
245 | Power Bracer
247 | Power Belt
