# Pokemon Insurgence Learnset Data  (generated by generate_data_from_game.py)
# Uses game-internal move IDs matching move_data.txt
# species_id | level:move_id level:move_id ...
1 | 1:303 3:368 7:217 9:208 13:445 13:218 15:274 19:205 21:417 25:369 27:265 31:222 33:221 37:199
2 | 1:303 1:368 1:217 3:368 7:217 9:208 13:445 13:218 15:274 20:205 23:417 28:369 31:265 36:222 39:221 44:195
3 | 1:303 1:368 1:217 1:208 3:368 7:217 9:208 13:445 13:218 15:274 20:205 23:417 28:369 31:265 32:192 39:222 45:221 50:682 53:195
4 | 1:311 1:368 7:146 10:408 16:62 19:399 25:142 28:141 34:293 37:136 43:147 46:133
5 | 1:311 1:368 1:146 7:146 10:408 17:62 21:399 28:142 32:141 39:293 43:136 50:147 54:133
6 | 1:129 1:132 1:57 1:176 1:159 1:408 1:368 1:146 1:311 7:146 10:408 17:62 21:399 28:142 32:141 36:164 41:293 47:136 56:147 62:133 71:132 77:129
7 | 1:303 4:419 7:551 10:559 13:554 16:28 19:317 22:391 25:548 28:539 31:271 34:531 37:556 40:536
8 | 1:303 1:419 1:551 4:419 7:551 10:559 13:554 16:28 20:317 24:391 28:548 32:539 36:271 40:531 44:556 48:536
9 | 1:519 1:303 1:419 1:551 1:559 4:419 7:551 10:559 13:554 16:28 20:317 24:391 28:548 32:539 39:271 46:531 53:556 60:536
10 | 1:303 1:20 15:8
11 | 1:370 7:370
12 | 1:462 10:462 12:445 12:220 12:218 16:167 18:413 22:423 24:460 28:9 30:173 34:18 36:398 40:352 42:3 46:17
13 | 1:440 1:20 15:8
14 | 1:370 7:370
15 | 1:324 10:324 13:364 16:11 19:316 22:33 25:447 28:14 31:466 34:31 37:430 40:329 45:695
16 | 1:303 5:238 9:167 13:310 17:423 21:61 25:170 29:466 33:164 37:172 41:173 45:171 49:159 53:154
17 | 1:303 1:238 1:167 5:238 9:167 13:310 17:423 22:61 27:170 32:466 37:164 42:172 47:173 52:171 57:159 62:154
18 | 1:154 1:303 1:238 1:167 1:310 5:238 9:167 13:310 17:423 22:61 27:170 32:466 38:164 44:172 50:173 56:171 62:159 68:154
19 | 1:303 1:419 4:310 7:364 10:28 13:33 16:279 19:26 22:24 25:31 28:340 31:265 34:329
20 | 1:418 1:303 1:419 1:310 1:364 4:310 7:364 10:28 13:33 16:279 19:26 20:399 24:24 29:31 34:340 39:265 44:329
21 | 1:168 1:368 5:374 9:324 13:33 17:160 21:171 25:466 29:31 33:172 37:158
22 | 1:226 1:162 1:168 1:368 1:324 1:374 5:374 9:324 13:33 17:160 23:171 29:466 35:31 41:172 47:158 53:226
23 | 1:325 1:374 4:440 9:28 12:367 17:400 20:437 25:411 25:339 25:415 28:438 33:228 36:443 38:696 41:258 44:442 49:427
