# Pokemon Insurgence Species Data  (generated by generate_pokemon_data.py)
# ID | Name | Type1 | Type2 | Stage | Rarity | BaseHP | BaseAtk | BaseDef | BaseSpA | BaseSpD | BaseSpe | GrowthRate
1 | Bulbasaur | Grass | Poison | 1 | Common | 45 | 49 | 49 | 65 | 65 | 45 | medium-slow
2 | Ivysaur | Grass | Poison | 2 | Common | 60 | 62 | 63 | 80 | 80 | 60 | medium-slow
3 | Venusaur | Grass | Poison | 3 | Common | 80 | 82 | 83 | 100 | 100 | 80 | medium-slow
4 | Charmander | Fire |  | 1 | Common | 39 | 52 | 43 | 60 | 50 | 65 | medium-slow
5 | Charmeleon | Fire |  | 2 | Common | 58 | 64 | 58 | 80 | 65 | 80 | medium-slow
6 | Charizard | Fire | Flying | 3 | Common | 78 | 84 | 78 | 109 | 85 | 100 | medium-slow
7 | Squirtle | Water |  | 1 | Common | 44 | 48 | 65 | 50 | 64 | 43 | medium-slow
8 | Wartortle | Water |  | 2 | Common | 59 | 63 | 80 | 65 | 80 | 58 | medium-slow
9 | Blastoise | Water |  | 3 | Common | 79 | 83 | 100 | 85 | 105 | 78 | medium-slow
10 | Caterpie | Bug |  | 1 | Common | 45 | 30 | 35 | 20 | 20 | 45 | medium
11 | Metapod | Bug |  | 2 | Common | 50 | 20 | 55 | 25 | 25 | 30 | medium
12 | Butterfree | Bug | Flying | 3 | Common | 60 | 45 | 50 | 90 | 80 | 70 | medium
13 | Weedle | Bug | Poison | 1 | Common | 40 | 35 | 30 | 20 | 20 | 50 | medium
14 | Kakuna | Bug | Poison | 2 | Common | 45 | 25 | 50 | 25 | 25 | 35 | medium
15 | Beedrill | Bug | Poison | 3 | Common | 65 | 90 | 40 | 45 | 80 | 75 | medium
16 | Pidgey | Normal | Flying | 1 | Common | 40 | 45 | 40 | 35 | 35 | 56 | medium-slow
17 | Pidgeotto | Normal | Flying | 2 | Common | 63 | 60 | 55 | 50 | 50 | 71 | medium-slow
18 | Pidgeot | Normal | Flying | 3 | Common | 83 | 80 | 75 | 70 | 70 | 101 | medium-slow
19 | Rattata | Normal |  | 1 | Common | 30 | 56 | 35 | 25 | 35 | 72 | medium
20 | Raticate | Normal |  | 2 | Common | 55 | 81 | 60 | 50 | 70 | 97 | medium
21 | Spearow | Normal | Flying | 1 | Common | 40 | 60 | 30 | 31 | 31 | 70 | medium
22 | Fearow | Normal | Flying | 2 | Common | 65 | 90 | 65 | 61 | 61 | 100 | medium
23 | Ekans | Poison |  | 1 | Common | 35 | 60 | 44 | 40 | 54 | 55 | medium
24 | Arbok | Poison |  | 2 | Common | 60 | 95 | 69 | 65 | 79 | 80 | medium
25 | Pikachu | Electric |  | 2 | Common | 35 | 55 | 40 | 50 | 50 | 90 | medium
26 | Raichu | Electric |  | 3 | Common | 60 | 90 | 55 | 90 | 80 | 110 | medium
27 | Sandshrew | Ground |  | 1 | Common | 50 | 75 | 85 | 20 | 30 | 40 | medium
28 | Sandslash | Ground |  | 2 | Common | 75 | 100 | 110 | 45 | 55 | 65 | medium
29 | Nidoran♀ | Poison |  | 1 | Common | 55 | 47 | 52 | 40 | 40 | 41 | medium-slow
30 | Nidorina | Poison |  | 2 | Common | 70 | 62 | 67 | 55 | 55 | 56 | medium-slow
31 | Nidoqueen | Poison | Ground | 3 | Common | 90 | 92 | 87 | 75 | 85 | 76 | medium-slow
32 | Nidoran♂ | Poison |  | 1 | Common | 46 | 57 | 40 | 40 | 40 | 50 | medium-slow
33 | Nidorino | Poison |  | 2 | Common | 61 | 72 | 57 | 55 | 55 | 65 | medium-slow
34 | Nidoking | Poison | Ground | 3 | Common | 81 | 102 | 77 | 85 | 75 | 85 | medium-slow
35 | Clefairy | Fairy |  | 2 | Common | 70 | 45 | 48 | 60 | 65 | 35 | fast
36 | Clefable | Fairy |  | 3 | Common | 95 | 70 | 73 | 95 | 90 | 60 | fast
37 | Vulpix | Fire |  | 1 | Common | 38 | 41 | 40 | 50 | 65 | 65 | medium
38 | Ninetales | Fire |  | 2 | Common | 73 | 76 | 75 | 81 | 100 | 100 | medium
39 | Jigglypuff | Normal | Fairy | 2 | Common | 115 | 45 | 20 | 45 | 25 | 20 | fast
40 | Wigglytuff | Normal | Fairy | 3 | Common | 140 | 70 | 45 | 85 | 50 | 45 | fast
41 | Zubat | Poison | Flying | 1 | Common | 40 | 45 | 35 | 30 | 40 | 55 | medium
42 | Golbat | Poison | Flying | 2 | Common | 75 | 80 | 70 | 65 | 75 | 90 | medium
43 | Oddish | Grass | Poison | 1 | Common | 45 | 50 | 55 | 75 | 65 | 30 | medium-slow
44 | Gloom | Grass | Poison | 2 | Common | 60 | 65 | 70 | 85 | 75 | 40 | medium-slow
45 | Vileplume | Grass | Poison | 3 | Common | 75 | 80 | 85 | 110 | 90 | 50 | medium-slow
46 | Paras | Bug | Grass | 1 | Common | 35 | 70 | 55 | 45 | 55 | 25 | medium
47 | Parasect | Bug | Grass | 2 | Common | 60 | 95 | 80 | 60 | 80 | 30 | medium
48 | Venonat | Bug | Poison | 1 | Common | 60 | 55 | 50 | 40 | 55 | 45 | medium
49 | Venomoth | Bug | Poison | 2 | Common | 70 | 65 | 60 | 90 | 75 | 90 | medium
50 | Diglett | Ground |  | 1 | Common | 10 | 55 | 25 | 35 | 45 | 95 | medium
51 | Dugtrio | Ground |  | 2 | Common | 35 | 100 | 50 | 50 | 70 | 120 | medium
52 | Meowth | Normal |  | 1 | Common | 40 | 45 | 35 | 40 | 40 | 90 | medium
53 | Persian | Normal |  | 2 | Common | 65 | 70 | 60 | 65 | 65 | 115 | medium
54 | Psyduck | Water |  | 1 | Common | 50 | 52 | 48 | 65 | 50 | 55 | medium
55 | Golduck | Water |  | 2 | Common | 80 | 82 | 78 | 95 | 80 | 85 | medium
56 | Mankey | Fighting |  | 1 | Common | 40 | 80 | 35 | 35 | 45 | 70 | medium
57 | Primeape | Fighting |  | 2 | Common | 65 | 105 | 60 | 60 | 70 | 95 | medium
58 | Growlithe | Fire |  | 1 | Common | 55 | 70 | 45 | 70 | 50 | 60 | slow
59 | Arcanine | Fire |  | 2 | Common | 90 | 110 | 80 | 100 | 80 | 95 | slow
60 | Poliwag | Water |  | 1 | Common | 40 | 50 | 40 | 40 | 40 | 90 | medium-slow
61 | Poliwhirl | Water |  | 2 | Common | 65 | 65 | 65 | 50 | 50 | 90 | medium-slow
62 | Poliwrath | Water | Fighting | 3 | Common | 90 | 95 | 95 | 70 | 90 | 70 | medium-slow
63 | Abra | Psychic |  | 1 | Common | 25 | 20 | 15 | 105 | 55 | 90 | medium-slow
64 | Kadabra | Psychic |  | 2 | Common | 40 | 35 | 30 | 120 | 70 | 105 | medium-slow
65 | Alakazam | Psychic |  | 3 | Common | 55 | 50 | 45 | 135 | 95 | 120 | medium-slow
66 | Machop | Fighting |  | 1 | Common | 70 | 80 | 50 | 35 | 35 | 35 | medium-slow
67 | Machoke | Fighting |  | 2 | Common | 80 | 100 | 70 | 50 | 60 | 45 | medium-slow
68 | Machamp | Fighting |  | 3 | Common | 90 | 130 | 80 | 65 | 85 | 55 | medium-slow
69 | Bellsprout | Grass | Poison | 1 | Common | 50 | 75 | 35 | 70 | 30 | 40 | medium-slow
70 | Weepinbell | Grass | Poison | 2 | Common | 65 | 90 | 50 | 85 | 45 | 55 | medium-slow
71 | Victreebel | Grass | Poison | 3 | Common | 80 | 105 | 65 | 100 | 70 | 70 | medium-slow
72 | Tentacool | Water | Poison | 1 | Common | 40 | 40 | 35 | 50 | 100 | 70 | slow
73 | Tentacruel | Water | Poison | 2 | Common | 80 | 70 | 65 | 80 | 120 | 100 | slow
74 | Geodude | Rock | Ground | 1 | Common | 40 | 80 | 100 | 30 | 30 | 20 | medium-slow
75 | Graveler | Rock | Ground | 2 | Common | 55 | 95 | 115 | 45 | 45 | 35 | medium-slow
76 | Golem | Rock | Ground | 3 | Common | 80 | 120 | 130 | 55 | 65 | 45 | medium-slow
77 | Ponyta | Fire |  | 1 | Common | 50 | 85 | 55 | 65 | 65 | 90 | medium
78 | Rapidash | Fire |  | 2 | Common | 65 | 100 | 70 | 80 | 80 | 105 | medium
79 | Slowpoke | Water | Psychic | 1 | Common | 90 | 65 | 65 | 40 | 40 | 15 | medium
80 | Slowbro | Water | Psychic | 2 | Common | 95 | 75 | 110 | 100 | 80 | 30 | medium
81 | Magnemite | Electric | Steel | 1 | Common | 25 | 35 | 70 | 95 | 55 | 45 | medium
82 | Magneton | Electric | Steel | 2 | Common | 50 | 60 | 95 | 120 | 70 | 70 | medium
83 | Farfetch'd | Normal | Flying | 1 | Common | 52 | 90 | 55 | 58 | 62 | 60 | medium
84 | Doduo | Normal | Flying | 1 | Common | 35 | 85 | 45 | 35 | 35 | 75 | medium
85 | Dodrio | Normal | Flying | 2 | Common | 60 | 110 | 70 | 60 | 60 | 110 | medium
86 | Seel | Water |  | 1 | Common | 65 | 45 | 55 | 45 | 70 | 45 | medium
87 | Dewgong | Water | Ice | 2 | Common | 90 | 70 | 80 | 70 | 95 | 70 | medium
88 | Grimer | Poison |  | 1 | Common | 80 | 80 | 50 | 40 | 50 | 25 | medium
89 | Muk | Poison |  | 2 | Common | 105 | 105 | 75 | 65 | 100 | 50 | medium
90 | Shellder | Water |  | 1 | Common | 30 | 65 | 100 | 45 | 25 | 40 | slow
91 | Cloyster | Water | Ice | 2 | Common | 50 | 95 | 180 | 85 | 45 | 70 | slow
92 | Gastly | Ghost | Poison | 1 | Common | 30 | 35 | 30 | 100 | 35 | 80 | medium-slow
93 | Haunter | Ghost | Poison | 2 | Common | 45 | 50 | 45 | 115 | 55 | 95 | medium-slow
94 | Gengar | Ghost | Poison | 3 | Common | 60 | 65 | 60 | 130 | 75 | 110 | medium-slow
95 | Onix | Rock | Ground | 1 | Common | 35 | 45 | 160 | 30 | 45 | 70 | medium
96 | Drowzee | Psychic |  | 1 | Common | 60 | 48 | 45 | 43 | 90 | 42 | medium
97 | Hypno | Psychic |  | 2 | Common | 85 | 73 | 70 | 73 | 115 | 67 | medium
98 | Krabby | Water |  | 1 | Common | 30 | 105 | 90 | 25 | 25 | 50 | medium
99 | Kingler | Water |  | 2 | Common | 55 | 130 | 115 | 50 | 50 | 75 | medium
100 | Voltorb | Electric |  | 1 | Common | 40 | 30 | 50 | 55 | 55 | 100 | medium
101 | Electrode | Electric |  | 2 | Common | 60 | 50 | 70 | 80 | 80 | 150 | medium
102 | Exeggcute | Grass | Psychic | 1 | Common | 60 | 40 | 80 | 60 | 45 | 40 | slow
103 | Exeggutor | Grass | Psychic | 2 | Common | 95 | 95 | 85 | 125 | 75 | 55 | slow
104 | Cubone | Ground |  | 1 | Common | 50 | 50 | 95 | 40 | 50 | 35 | medium
105 | Marowak | Ground |  | 2 | Common | 60 | 80 | 110 | 50 | 80 | 45 | medium
106 | Hitmonlee | Fighting |  | 2 | Common | 50 | 120 | 53 | 35 | 110 | 87 | medium
