# Species whose name alone does not identify them.
# Generated by tools/gen_species_names.py from PBSpecies.
# ID | Display name | Internal name
727 | Delta Bulbasaur | DELTABULBASAUR
728 | Delta Ivysaur | DELTAIVYSAUR
729 | Delta Venusaur | DELTAVENUSAUR
730 | Delta Charmander | DELTACHARMANDER
731 | Delta Charmeleon | DELTACHARMELEON
732 | Delta Charizard | DELTACHARIZARD
733 | Delta Squirtle | DELTASQUIRTLE
734 | Delta Wartortle | DELTAWARTORTLE
735 | Delta Blastoise | DELTABLASTOISE
736 | Delta Pawniard | DELTAPAWNIARD
737 | Delta Bisharp | DELTABISHARP
738 | Delta Ralts | DELTARALTS
739 | Delta Kirlia | DELTAKIRLIA
740 | Delta Gardevoir | DELTAGARDEVOIR
741 | Delta Gallade | DELTAGALLADE
742 | Delta Sunkern | DELTASUNKERN
743 | Delta Sunflora | DELTASUNFLORA
744 | Delta Bergmite | DELTABERGMITE
745 | Delta Avalugg | DELTAAVALUGG
746 | Delta Scyther | DELTASCYTHER
747 | Delta Scizor | DELTASCIZOR
748 | Delta Scraggy | DELTASCRAGGY
749 | Delta Scrafty | DELTASCRAFTY
750 | Delta Combee | DELTACOMBEE
751 | Delta Vespiquen | DELTAVESPIQUEN
752 | Delta Koffing | DELTAKOFFING
753 | Delta Weezing | DELTAWEEZING
754 | Delta Purrloin | DELTAPURRLOIN
755 | Delta Liepard | DELTALIEPARD
756 | Delta Phantump | DELTAPHANTUMP
757 | Delta Trevenant | DELTATREVENANT
758 | Delta Snorunt | DELTASNORUNT
759 | Delta Glalie | DELTAGLALIE
760 | Delta Froslass | DELTAFROSLASS
761 | Delta Shinx | DELTASHINX
762 | Delta Luxio | DELTALUXIO
763 | Delta Luxray | DELTALUXRAY
764 | Delta Noibat | DELTANOIBAT
765 | Delta Noivern | DELTANOIVERN
766 | Delta Budew | DELTABUDEW
767 | Delta Roselia | DELTAROSELIA
768 | Delta Roserade | DELTAROSERADE
769 | Delta Drifloon | DELTADRIFLOON
770 | Delta Drifblim | DELTADRIFBLIM
771 | Delta Grimer | DELTAGRIMER
772 | Delta Muk | DELTAMUK
773 | Delta Wooper | DELTAWOOPER
774 | Delta Quagsire | DELTAQUAGSIRE
775 | Delta Munchlax | DELTAMUNCHLAX
776 | Delta Snorlax | DELTASNORLAX
777 | Delta Misdreavus | DELTAMISDREAVUS
778 | Delta Mismagius | DELTAMISMAGIUS
779 | Delta Cyndaquil | DELTACYNDAQUIL
780 | Delta Quilava | DELTAQUILAVA
781 | Delta Typhlosion | DELTATYPHLOSION
782 | Delta Treecko | DELTATREECKO
783 | Delta Grovyle | DELTAGROVYLE
784 | Delta Sceptile | DELTASCEPTILE
785 | Delta Torchic | DELTATORCHIC
786 | Delta Combusken | DELTACOMBUSKEN
787 | Delta Blaziken | DELTABLAZIKEN
788 | Delta Turtwig | DELTATURTWIG
789 | Delta Grotle | DELTAGROTLE
790 | Delta Torterra | DELTATORTERRA
791 | Delta Snivy | DELTASNIVY
792 | Delta Servine | DELTASERVINE
793 | Delta Serperior | DELTASERPERIOR
794 | Delta Froakie | DELTAFROAKIE
795 | Delta Frogadier | DELTAFROGADIER
796 | Delta Greninja | DELTAGRENINJA
797 | Delta Pidgey | DELTAPIDGEY
798 | Delta Pidgeotto | DELTAPIDGEOTTO
799 | Delta Pidgeot | DELTAPIDGEOT
800 | Delta Diglett | DELTADIGLETT
801 | Delta Dugtrio | DELTADUGTRIO
802 | Delta Growlithe | DELTAGROWLITHE
803 | Delta Arcanine | DELTAARCANINE
804 | Delta Geodude | DELTAGEODUDE
805 | Delta Graveler | DELTAGRAVELER
806 | Delta Golem | DELTAGOLEM
807 | Delta Tentacool | DELTATENTACOOL
808 | Delta Tentacruel | DELTATENTACRUEL
809 | Delta Doduo | DELTADODUO
810 | Delta Dodrio | DELTADODRIO
811 | Delta Tangela | DELTATANGELA
812 | Delta Tangrowth | DELTATANGROWTH
813 | Delta Ditto | DELTADITTO
814 | Delta Kabuto | DELTAKABUTO
815 | Delta Kabutops | DELTAKABUTOPS
816 | Delta Dratini | DELTADRATINI
817 | Delta Dragonair | DELTADRAGONAIR
818 | Delta Dragonite | DELTADRAGONITE
819 | Delta Hoothoot | DELTAHOOTHOOT
820 | Delta Noctowl | DELTANOCTOWL
821 | Delta Chinchou | DELTACHINCHOU
822 | Delta Lanturn | DELTALANTURN
823 | Delta Pichu | DELTAPICHU
824 | Delta Pikachu | DELTAPIKACHU
825 | Delta Raichu | DELTARAICHU
826 | Delta Aipom | DELTAAIPOM
827 | Delta Ambipom | DELTAAMBIPOM
828 | Delta Yanma | DELTAYANMA
829 | Delta Yanmega | DELTAYANMEGA
830 | Delta Girafarig | DELTAGIRAFARIG
831 | Delta Dunsparce | DELTADUNSPARCE
832 | Delta Shuckle | DELTASHUCKLE
833 | Delta Remoraid | DELTAREMORAID
834 | Delta Octillery | DELTAOCTILLERY
835 | Delta Elekid | DELTAELEKID
836 | Delta Electabuzz | DELTAELECTABUZZ
837 | Delta Electivire | DELTAELECTIVIRE
838 | Delta Magby | DELTAMAGBY
839 | Delta Magmar | DELTAMAGMAR
840 | Delta Magmortar | DELTAMAGMORTAR
841 | Delta Lotad | DELTALOTAD
842 | Delta Lombre | DELTALOMBRE
843 | Delta Ludicolo | DELTALUDICOLO
844 | Delta Seedot | DELTASEEDOT
845 | Delta Nuzleaf | DELTANUZLEAF
846 | Delta Shiftry | DELTASHIFTRY
847 | Delta Sableye | DELTASABLEYE
848 | Delta Mawile | DELTAMAWILE
849 | Delta Aron | DELTAARON
850 | Delta Lairon | DELTALAIRON
851 | Delta Aggron | DELTAAGGRON
852 | Delta Meditite | DELTAMEDITITE
853 | Delta Medicham | DELTAMEDICHAM
854 | Delta Numel | DELTANUMEL
855 | Delta Camerupt | DELTACAMERUPT
856 | Delta Plusle | DELTAPLUSLE
857 | Delta Minun | DELTAMINUN
858 | Delta Wailmer | DELTAWAILMER
859 | Delta Wailord | DELTAWAILORD
860 | Delta Feebas | DELTAFEEBAS
861 | Delta Milotic | DELTAMILOTIC
862 | Delta Clamperl | DELTACLAMPERL
863 | Delta Huntail | DELTAHUNTAIL
864 | Delta Gorebyss | DELTAGOREBYSS
865 | Delta Beldum (Ground) | DELTABELDUM1
866 | Delta Metang (Ground) | DELTAMETANG1
867 | Delta Metagross (Ground) | DELTAMETAGROSS1
868 | Delta Beldum (Grass) | DELTABELDUM2
869 | Delta Metang (Grass) | DELTAMETANG2
870 | Delta Metagross (Grass) | DELTAMETAGROSS2
871 | Delta Buneary | DELTABUNEARY
872 | Delta Lopunny | DELTALOPUNNY
873 | Delta Riolu | DELTARIOLU
874 | Delta Lucario | DELTALUCARIO
875 | Delta Croagunk | DELTACROAGUNK
876 | Delta Toxicroak | DELTATOXICROAK
877 | Delta Venipede | DELTAVENIPEDE
878 | Delta Whirlipede | DELTAWHIRLIPEDE
879 | Delta Scolipede | DELTASCOLIPEDE
880 | Delta Petilil (Water) | DELTAPETILIL1
881 | Delta Lilligant (Water) | DELTALILLIGANT1
882 | Delta Petilil (Fairy) | DELTAPETILIL2
883 | Delta Lilligant (Fairy) | DELTALILLIGANT2
884 | Delta Solosis | DELTASOLOSIS
885 | Delta Duosion | DELTADUOSION
886 | Delta Reuniclus | DELTAREUNICLUS
887 | Delta Darumaka | DELTADARUMAKA
888 | Delta Darmanitan | DELTADARMANITAN
889 | Delta Maractus | DELTAMARACTUS
890 | Delta Dwebble (Grass) | DELTADWEBBLE1
891 | Delta Crustle (Grass) | DELTACRUSTLE1
892 | Delta Dwebble (Fairy) | DELTADWEBBLE2
893 | Delta Crustle (Fairy) | DELTACRUSTLE2
894 | Delta Yamask | DELTAYAMASK
895 | Delta Cofagrigus | DELTACOFAGRIGUS
896 | Delta Emolga | DELTAEMOLGA
897 | Delta Karrablast | DELTAKARRABLAST
898 | Delta Escavalier | DELTAESCAVALIER
899 | Delta Foongus | DELTAFOONGUS
900 | Delta Amoonguss | DELTAAMOONGUSS
901 | Delta Litwick | DELTALITWICK
902 | Delta Lampent | DELTALAMPENT
903 | Delta Chandelure | DELTACHANDELURE
904 | Delta Axew | DELTAAXEW
905 | Delta Fraxure | DELTAFRAXURE
906 | Delta Haxorus | DELTAHAXORUS
907 | Delta Golett | DELTAGOLETT
908 | Delta Golurk | DELTAGOLURK
909 | Delta Heatmor | DELTAHEATMOR
910 | Delta Deino | DELTADEINO
911 | Delta Zweilous | DELTAZWEILOUS
912 | Delta Hydreigon | DELTAHYDREIGON
913 | Delta Larvesta | DELTALARVESTA
914 | Delta Volcarona | DELTAVOLCARONA
915 | Delta Amaura | DELTAAMAURA
916 | Delta Aurorus | DELTAAURORUS
917 | Delta Goomy | DELTAGOOMY
918 | Delta Sliggoo | DELTASLIGGOO
919 | Delta Goodra | DELTAGOODRA
920 | Delta Regirock | DELTAREGIROCK
921 | Delta Regice | DELTAREGICE
922 | Delta Registeel | DELTAREGISTEEL
923 | Delta Meloetta | DELTAMELOETTA
924 | Delta Hoopa | DELTAHOOPA
